            time               v             rho            temp          eratio            asym
  6.45514176E+04  4.35875595E+06  2.85388835E-09  2.57222821E+04  6.47808481E-02  0.00000000E+00
  6.48984682E+04  4.35922421E+06  2.85358181E-09  2.57868305E+04  6.53916591E-02  0.00000000E+00
  6.52455189E+04  4.35969246E+06  2.85327533E-09  2.58513788E+04  6.60065105E-02  0.00000000E+00
  6.55925695E+04  4.36016071E+06  2.85296892E-09  2.59159272E+04  6.66254102E-02  0.00000000E+00
  6.59396201E+04  4.36062896E+06  2.85266258E-09  2.59804755E+04  6.72483660E-02  0.00000000E+00
  6.62866708E+04  4.36109721E+06  2.85235630E-09  2.60450239E+04  6.78753847E-02  0.00000000E+00
  6.66337214E+04  4.36156546E+06  2.85205009E-09  2.61095723E+04  6.85064730E-02  0.00000000E+00
  6.69807720E+04  4.36203371E+06  2.85174394E-09  2.61741206E+04  6.91416366E-02  0.00000000E+00
  6.73278227E+04  4.36250196E+06  2.85143786E-09  2.62386690E+04  6.97808809E-02  0.00000000E+00
  6.76748733E+04  4.36297022E+06  2.85113184E-09  2.63032174E+04  7.04242104E-02  0.00000000E+00
  6.80219239E+04  4.36343847E+06  2.85082589E-09  2.63677657E+04  7.10716292E-02  0.00000000E+00
  6.83689746E+04  4.36390672E+06  2.85052001E-09  2.64323141E+04  7.17231403E-02  0.00000000E+00
  6.87160252E+04  4.36437497E+06  2.85021419E-09  2.64968624E+04  7.23787464E-02  0.00000000E+00
  6.90630758E+04  4.36484322E+06  2.84990844E-09  2.65614108E+04  7.30384490E-02  0.00000000E+00
  6.94101265E+04  4.36531147E+06  2.84960275E-09  2.66259592E+04  7.37022490E-02  0.00000000E+00
  6.97571771E+04  4.36577972E+06  2.84929713E-09  2.66905075E+04  7.43701464E-02  0.00000000E+00
  7.01042277E+04  4.36624797E+06  2.84899157E-09  2.67550559E+04  7.50421403E-02  0.00000000E+00
  7.04512784E+04  4.36671623E+06  2.84868608E-09  2.68196042E+04  7.57182289E-02  0.00000000E+00
  7.07983290E+04  4.36718448E+06  2.84838066E-09  2.68841526E+04  7.63984094E-02  0.00000000E+00
  7.11453796E+04  4.36765273E+06  2.84807530E-09  2.69487010E+04  7.70826779E-02  0.00000000E+00
  7.14924302E+04  4.36812098E+06  2.84777000E-09  2.70132493E+04  7.77710295E-02  0.00000000E+00
  7.18394809E+04  4.36858923E+06  2.84746477E-09  2.70777977E+04  7.84634584E-02  0.00000000E+00
  7.21865315E+04  4.36905748E+06  2.84715961E-09  2.71423461E+04  7.91599573E-02  0.00000000E+00
  7.25335821E+04  4.36952573E+06  2.84685451E-09  2.72068944E+04  7.98605179E-02  0.00000000E+00
  7.28806328E+04  4.36999398E+06  2.84654948E-09  2.72714428E+04  8.05651308E-02  0.00000000E+00
  7.32276834E+04  4.37046224E+06  2.84624452E-09  2.73359911E+04  8.12737852E-02  0.00000000E+00
  7.35747340E+04  4.37093049E+06  2.84593961E-09  2.74005395E+04  8.19864690E-02  0.00000000E+00
  7.39217847E+04  4.37139874E+06  2.84563478E-09  2.74650879E+04  8.27031687E-02  0.00000000E+00
  7.42688353E+04  4.37186699E+06  2.84533001E-09  2.75296362E+04  8.34238695E-02  0.00000000E+00
  7.46158859E+04  4.37233524E+06  2.84502530E-09  2.75941846E+04  8.41485551E-02  0.00000000E+00
  7.49629366E+04  4.37280349E+06  2.84472066E-09  2.76587330E+04  8.48772079E-02  0.00000000E+00
  7.53099872E+04  4.37327174E+06  2.84441609E-09  2.77232813E+04  8.56098086E-02  0.00000000E+00
  7.56570378E+04  4.37373999E+06  2.84411158E-09  2.77878297E+04  8.63463364E-02  0.00000000E+00
  7.60040885E+04  4.37420825E+06  2.84380714E-09  2.78523780E+04  8.70867689E-02  0.00000000E+00
  7.63511391E+04  4.37467650E+06  2.84350276E-09  2.79169264E+04  8.78310823E-02  0.00000000E+00
  7.66981897E+04  4.37514475E+06  2.84319844E-09  2.79814748E+04  8.85792508E-02  0.00000000E+00
  7.70452404E+04  4.37561300E+06  2.84289420E-09  2.80460231E+04  8.93312471E-02  0.00000000E+00
  7.73922910E+04  4.37608125E+06  2.84259001E-09  2.81105715E+04  9.00870424E-02  0.00000000E+00
  7.77393416E+04  4.37654950E+06  2.84228590E-09  2.81751199E+04  9.08466058E-02  0.00000000E+00
  7.80863923E+04  4.37701775E+06  2.84198184E-09  2.82396682E+04  9.16099049E-02  0.00000000E+00
  7.84334429E+04  4.37748600E+06  2.84167786E-09  2.83042166E+04  9.23769055E-02  0.00000000E+00
  7.87804935E+04  4.37795426E+06  2.84137393E-09  2.83687649E+04  9.31475716E-02  0.00000000E+00
  7.91275442E+04  4.37842251E+06  2.84107008E-09  2.84333133E+04  9.39218654E-02  0.00000000E+00
  7.94745948E+04  4.37889076E+06  2.84076628E-09  2.84978617E+04  9.46997474E-02  0.00000000E+00
  7.98216454E+04  4.37935901E+06  2.84046256E-09  2.85624100E+04  9.54811764E-02  0.00000000E+00
  8.01686961E+04  4.37982726E+06  2.84015889E-09  2.86269584E+04  9.62661091E-02  0.00000000E+00
  8.05157467E+04  4.38029551E+06  2.83985530E-09  2.86915068E+04  9.70545007E-02  0.00000000E+00
  8.08627973E+04  4.38076376E+06  2.83955176E-09  2.87560551E+04  9.78463048E-02  0.00000000E+00
  8.12098480E+04  4.38123201E+06  2.83924830E-09  2.88206035E+04  9.86414731E-02  0.00000000E+00
  8.15568986E+04  4.38170027E+06  2.83894489E-09  2.88851518E+04  9.94399555E-02  0.00000000E+00
  8.19039492E+04  4.38216852E+06  2.83864156E-09  2.89497002E+04  1.00241701E-01  0.00000000E+00
